"Year","Month","State","Genus Species","Serotype or Genotype","Etiology Status","Location of Preparation","Illnesses","Hospitalizations","Deaths","Food Vehicle","Contaminated Ingredient"
2010,2,"Oregon","Norovirus Genogroup II","GII_12","Confirmed","Restaurant - Sit-down dining",23,0,0,"lettuce","leaf lettuce"
2009,9,"Ohio","Salmonella enterica","Enteritidis","Confirmed","Private home/residence",22,1,0,"pasta, unspecified",NA
2009,12,"California","Salmonella enterica","Heidelberg","Confirmed","Restaurant - other or unknown type",22,4,0,"specialty/ethnic dishes",NA
2010,4,"Oregon","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",73,3,0,"pico de gallo; guacamole",NA
2010,2,"California","Salmonella enterica","Give","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",50,2,0,"carnitas, unspecified","pork"
2010,4,"Ohio","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",56,7,0,"chilis rellenos",NA
2010,5,"Pennsylvania","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site)",37,5,0,"lasagna, beef; soup, speciality, other","egg; egg"
2009,3,"Colorado","Salmonella enterica","Newport","Confirmed","Private home/residence",43,10,0,"green chile",NA
2010,4,"Florida","Salmonella enterica","Anatum","Confirmed","Private home/residence; Banquet Facility (food prepared and served on-site); Other (describe in remarks)",37,1,0,"pork; chicken, bbq","pork; chicken"
2010,6,"Ohio","Salmonella enterica","Typhimurium var Cope","Confirmed","Private home/residence",64,1,0,"pork, smoked",NA
2010,7,"Pennsylvania","Salmonella enterica","Enteritidis","Confirmed","Other (describe in remarks)",21,1,0,"chicken and rice","chicken"
2010,7,"Tennessee","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed",NA,71,0,0,"pasta salad",NA
2010,8,"Minnesota","Salmonella enterica","Infantis","Confirmed","Private home/residence; Religious facility",21,0,0,"salads",NA
2010,3,"California","Salmonella enterica","Typhimurium","Confirmed","Restaurant - Sit-down dining",22,2,0,"carne asada","beef"
2010,7,"Colorado","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",29,4,0,"rattlesnake cake","egg"
2010,8,"Illinois","Salmonella enterica","Infantis","Confirmed","Private home/residence",28,1,0,"fruit; cala; meatballs",NA
2010,8,"Georgia","Salmonella enterica","Infantis","Confirmed","Restaurant - other or unknown type",74,7,0,"pork, bbq; potato salad; beans, baked; coleslaw",NA
2010,8,"Wisconsin","Salmonella enterica","Enteritidis","Confirmed",NA,24,8,0,"ice cream, homemade",NA
2010,6,"Colorado","Escherichia coli","O157:H7;","Confirmed; Confirmed","Other (describe in remarks)",30,2,0,"goat milk, unpasteurized","goat milk, unpasteurized"
2010,6,"Colorado","Shiga toxin-producing","O157:H7;","Confirmed; Confirmed","Other (describe in remarks)",30,2,0,"goat milk, unpasteurized","goat milk, unpasteurized"
2010,11,"Oklahoma","Escherichia coli","O157:H7; O84:NM","Confirmed; Confirmed","Prison/jail",21,0,0,"multiple foods",NA
2010,11,"Oklahoma","Shiga toxin-producing","O157:H7; O84:NM","Confirmed; Confirmed","Prison/jail",21,0,0,"multiple foods",NA
2010,11,"Oklahoma","Escherichia coli","O157:H7; O84:NM","Confirmed; Confirmed","Prison/jail",21,0,0,"multiple foods",NA
2010,11,"Oklahoma","Shiga toxin-producing","O157:H7; O84:NM","Confirmed; Confirmed","Prison/jail",21,0,0,"multiple foods",NA
2010,11,"Minnesota","Escherichia coli","O103:H2; O145:NM","Confirmed; Confirmed","School/college/university",29,2,0,"venison","venison"
2010,11,"Minnesota","Shiga toxin-producing","O103:H2; O145:NM","Confirmed; Confirmed","School/college/university",29,2,0,"venison","venison"
2010,11,"Minnesota","Escherichia coli","O103:H2; O145:NM","Confirmed; Confirmed","School/college/university",29,2,0,"venison","venison"
2010,11,"Minnesota","Shiga toxin-producing","O103:H2; O145:NM","Confirmed; Confirmed","School/college/university",29,2,0,"venison","venison"
2010,8,"Michigan","Salmonella enterica","Javiana","Confirmed","Long-term care/nursing home/assisted living facility",41,5,0,"potato salad","yellow onion"
2009,12,"New Jersey","Salmonella enterica","Enteritidis","Confirmed",NA,39,5,0,"chicken, marsala; pork, other",NA
2009,3,"Multistate","Escherichia coli","O157:H7","Confirmed","Private home/residence",77,35,NA,"cookie dough",NA
2009,3,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Private home/residence",77,35,NA,"cookie dough",NA
2009,2,"Multistate","Salmonella enterica","Saintpaul","Confirmed","Other (describe in remarks)",256,8,NA,"alfalfa sprouts",NA
2009,2,"Multistate","Salmonella enterica","Carrau","Confirmed","Grocery store",53,4,1,"melon",NA
2009,9,"Multistate","Escherichia coli","O157:H7","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",22,NA,NA,"lettuce, unspecified",NA
2009,9,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",22,NA,NA,"lettuce, unspecified",NA
2009,8,"Multistate","Escherichia coli","O157:H7","Confirmed","Other (describe in remarks)",32,19,2,"ground beef, other",NA
2009,8,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Other (describe in remarks)",32,19,2,"ground beef, other",NA
2009,7,"Multistate","Salmonella enterica","Montevideo","Confirmed","Other (describe in remarks)",272,52,0,"salami","pepper, ground"
2009,2,"Multistate","Salmonella enterica","Oranienburg","Confirmed","Other (describe in remarks)",25,NA,NA,"alfalfa sprouts",NA
2009,3,"Multistate","Escherichia coli","O157:H7","Confirmed","Other (describe in remarks)",23,6,0,"ground beef, other",NA
2009,3,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Other (describe in remarks)",23,6,0,"ground beef, other",NA
2009,5,"Multistate","Salmonella enterica","Newport","Confirmed","Other (describe in remarks)",68,4,0,"ground beef",NA
2011,4,"Michigan","Norovirus Genogroup II","GII_6","Confirmed","Caterer (food prepared off-site from where served)",57,0,0,"salad, greek; caesar salad",NA
2011,4,"Illinois","Salmonella enterica","Typhimurium","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",36,3,0,"multiple salads",NA
2010,10,"California","Salmonella enterica","Heidelberg","Confirmed","Private home/residence",21,1,0,"chicken",NA
2009,7,"Multistate","Salmonella enterica","Typhimurium","Confirmed","Grocery store",145,1,NA,"shredded lettuce","iceberg lettuce"
2009,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Restaurant - Sit-down dining",25,9,1,"needle tenderized steak","steak, sirloin"
2009,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - Sit-down dining",25,9,1,"needle tenderized steak","steak, sirloin"
2011,3,"New York","Escherichia coli","unknown","Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served)",53,0,0,"hummus",NA
2011,1,"California","Salmonella enterica","Typhimurium","Confirmed","Private home/residence",37,7,0,"queso fresco, unpasteurized",NA
2011,6,"Pennsylvania","Salmonella enterica","Montevideo","Confirmed",NA,312,1,0,"chicken, other","chicken"
2011,7,"New York","Salmonella enterica","Typhimurium","Confirmed","Private home/residence",21,2,0,"turkey, roasted","turkey"
2011,7,"Maryland","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",57,7,0,"crab dishes",NA
2011,7,"Connecticut","Salmonella enterica","Enteritidis","Confirmed","Fair, festival, other temp or mobile services",42,2,0,"salad, unspecified",NA
2011,6,"Pennsylvania","Salmonella enterica","Typhimurium var Cope","Suspected","Other (describe in remarks)",25,3,0,"pork, roasted","pork"
2011,9,"South Carolina","Salmonella enterica","Typhimurium var Cope; ;","Confirmed; Confirmed; Confirmed","Religious facility",68,1,0,"pork, bbq","pork"
2011,9,"Michigan","Salmonella enterica","Derby","Confirmed","Caterer (food prepared off-site from where served)",35,6,0,"pulled pork","pork"
2011,12,"Michigan","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Caterer (food prepared off-site from where served); Grocery store",25,0,0,"focaccia; cheese",NA
2010,4,"Multistate","Escherichia coli","O145","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Fair, festival, other temp or mobile services; School/college/university",31,14,0,"romaine lettuce, unspecified","romaine lettuce"
2010,4,"Multistate","Shiga toxin-producing","O145","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Fair, festival, other temp or mobile services; School/college/university",31,14,0,"romaine lettuce, unspecified","romaine lettuce"
2012,1,"Illinois","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Restaurant - Sit-down dining",196,2,0,"coleslaw; green beans; vegetables",NA
2011,11,"Georgia","Salmonella enterica","Infantis","Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served)",54,3,0,"turkey, smoked; turkey, bbq; turkey, other",NA
2010,4,"Multistate","Salmonella enterica","Chester","Confirmed","Private home/residence",44,7,0,"cheesy chicken and rice frozen meal",NA
2010,3,"Multistate","Salmonella enterica","Newport","Confirmed",NA,44,NA,NA,"alfalfa sprouts","alfalfa sprout seeds"
2010,4,"Multistate","Salmonella enterica","Berta","Confirmed","Private home/residence",35,2,0,"ground turkey, unspecified","turkey"
2010,7,"Multistate","Salmonella enterica","Javiana","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Grocery store",30,8,NA,"tomatoes","tomato"
2010,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Grocery store",38,15,0,"gouda cheese (unpasteurized milk)","milk, unpasteurized"
2010,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Grocery store",38,15,0,"gouda cheese (unpasteurized milk)","milk, unpasteurized"
2010,11,"Multistate","Salmonella enterica","I 4,[5],12:i:-","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",140,31,0,"alfalfa sprouts",NA
2010,12,"Multistate","Salmonella enterica","Hadar","Confirmed","Grocery store",55,NA,NA,"ground turkey, burger","ground turkey"
2011,12,"Michigan","Escherichia coli","O157:H7","Confirmed","Restaurant - Sit-down dining",22,4,0,"pizza, tostada; sandwich, submarine","lettuce; lettuce"
2011,12,"Michigan","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - Sit-down dining",22,4,0,"pizza, tostada; sandwich, submarine","lettuce; lettuce"
2012,2,"Ohio","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Caterer (food prepared off-site from where served)",42,0,0,"spanish piquillo peppers with goat cheese",NA
2010,2,"Multistate","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence; Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served)",1939,NA,NA,"shell egg, other","egg"
2012,2,"New York","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Restaurant - Sit-down dining",103,2,0,"antipasto; salad, unspecified; ice; water; pizza, unspecified",NA
2009,11,"Multistate","Salmonella enterica","Heidelberg","Confirmed","Private home/residence",35,NA,NA,"chicken",NA
2012,2,"Ohio","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Restaurant - other or unknown type",29,1,0,"ice","water"
2012,1,"South Carolina","Salmonella enterica","Muenchen","Confirmed","Private home/residence",23,4,0,"macaroni and cheese",NA
2012,4,"Ohio","Norovirus Genogroup I","GI_7","Confirmed","Caterer (food prepared off-site from where served)",29,0,0,"mesclun mix and spinach","lettuce; mesclun mix; spinach"
2011,7,"California","Salmonella enterica","Kiambu","Confirmed","Restaurant - other or unknown type; Private home/residence; Grocery store; Other (describe in remarks)",22,1,0,"beans, unspecified; carnitas, unspecified",NA
2010,1,"Multistate","Salmonella enterica","Paratyphi B","Confirmed",NA,51,NA,NA,"fish, ahi",NA
2012,2,"North Carolina","Salmonella enterica","Paratyphi B","Confirmed","Other (describe in remarks)",89,8,0,"tempeh, unpasteurized",NA
2011,2,"Maryland","Norovirus Genogroup II","GII_7;","Confirmed; Confirmed; Confirmed","Caterer (food prepared off-site from where served)",72,0,0,"cocktail sauce, unspecified",NA
2011,2,"Maryland","Norovirus Genogroup II","GII_7;","Confirmed; Confirmed; Confirmed","Caterer (food prepared off-site from where served)",72,0,0,"cocktail sauce, unspecified",NA
2011,2,"Maryland","Norovirus Genogroup II","GII_7;","Confirmed; Confirmed; Confirmed","Caterer (food prepared off-site from where served)",72,0,0,"cocktail sauce, unspecified",NA
2011,1,"Maryland","Norovirus Genogroup II","GII_4 untypeable","Confirmed","Caterer (food prepared off-site from where served)",93,0,0,"salad, unspecified; lettuce","leaf lettuce"
2011,1,"Multistate","Salmonella enterica","Agona","Confirmed","Private home/residence",106,10,0,"papaya",NA
2012,6,"Pennsylvania","Salmonella enterica","Newport","Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served)",102,36,0,"tomato, unspecified",NA
2012,7,"Tennessee","Salmonella enterica","Newport","Confirmed","Fair, festival, other temp or mobile services",27,1,0,"pork, bbq",NA
2012,3,"Massachusetts","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",23,4,0,"sandwich, chicken salad; grilled chicken salad",NA
2012,8,"Minnesota","Salmonella enterica","Enteritidis","Confirmed","Private home/residence",24,2,0,"beef, raw","ground beef"
2012,7,"Oregon","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Banquet Facility (food prepared and served on-site)",27,1,0,"coleslaw; pulled pork sandwiches",NA
2012,8,"New York","Norovirus Genogroup II","other","Confirmed","Private home/residence",22,0,0,"potato-macaroni salad",NA
2011,4,"Multistate","Salmonella enterica","Heidelberg","Confirmed","Private home/residence; Grocery store; Long-term care/nursing home/assisted living facility; School/college/university",190,30,0,"liver, chicken","liver, chicken"
2011,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Grocery store; School/college/university",60,35,0,"romaine lettuce, unspecified",NA
2011,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Grocery store; School/college/university",60,35,0,"romaine lettuce, unspecified",NA
2012,9,"Ohio","Norovirus Genogroup II","GII_1","Confirmed","Banquet Facility (food prepared and served on-site)",37,2,0,"iceberg lettuce, unspecified","lettuce"
2012,9,"Oregon","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Long-term care/nursing home/assisted living facility",25,0,0,"lettuce",NA
2010,4,"North Carolina","Salmonella enterica","Enteritidis","Confirmed",NA,65,8,0,"meringue",NA
2011,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Private home/residence",26,5,0,"lettuce",NA
2011,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Private home/residence",26,5,0,"lettuce",NA
2011,6,"Multistate","Salmonella enterica","Uganda","Confirmed",NA,25,4,0,"cantaloupe",NA
2011,4,"Multistate","Salmonella enterica","Enteritidis","Confirmed",NA,27,3,0,"alfalfa sprouts",NA
2011,8,"Multistate","Salmonella enterica","Enteritidis","Confirmed",NA,53,2,0,"turkish pine nuts",NA
2011,2,"Multistate","Salmonella enterica","Heidelberg","Confirmed",NA,181,50,1,"ground turkey, unspecified",NA
2012,10,"Illinois","Norovirus Genogroup II","GII_4 Sydney (2012); GII_4 Sydney (2012)","Confirmed; Confirmed","Restaurant - Sit-down dining",23,1,0,"salad, unspecified",NA
2012,10,"Illinois","Norovirus Genogroup II","GII_4 Sydney (2012); GII_4 Sydney (2012)","Confirmed; Confirmed","Restaurant - Sit-down dining",23,1,0,"salad, unspecified",NA
2012,9,"Alabama","Salmonella enterica","Braenderup","Confirmed","Private home/residence",35,7,0,"chicken, smoked; rice",NA
2012,10,"South Carolina","Salmonella enterica","Enteritidis","Confirmed","Religious facility",33,1,0,"chicken","chicken"
2012,8,"Michigan","Escherichia coli","O157:H7","Confirmed",NA,90,10,0,"chicken salad","n/a"
2012,8,"Michigan","Shiga toxin-producing","O157:H7","Confirmed",NA,90,10,0,"chicken salad","n/a"
2012,10,"Tennessee","Salmonella enterica","Newport","Confirmed","Private home/residence",27,7,0,"bean dishes",NA
2012,11,"Connecticut","Norovirus Genogroup II","other","Confirmed","School/college/university",66,0,0,"multiple foods",NA
2012,11,"Florida","Norovirus Genogroup I","GI_9","Confirmed","Restaurant - Sit-down dining",21,0,0,"iceberg lettuce, unspecified","lettuce"
2012,12,"Oregon","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Banquet Facility (food prepared and served on-site)",125,0,NA,"fruit salad",NA
2012,12,"Ohio","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Banquet Facility (food prepared and served on-site)",49,0,0,"fruit",NA
2011,4,"Multistate","Salmonella enterica","Newport","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",166,0,0,"tomatoes",NA
2012,12,"Georgia","Norovirus Genogroup II","unknown","Suspected","Caterer (food prepared off-site from where served)",31,0,0,"chicken and noodles; salad, unspecified",NA
2013,1,"Oregon","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Banquet Facility (food prepared and served on-site)",22,0,0,"fruit salad",NA
2012,10,"Florida","Salmonella enterica","Javiana","Confirmed","Private home/residence",43,40,0,"chicken, baked",NA
2013,2,"Ohio","Norovirus Genogroup II","GII_4 Sydney (2012)","Suspected","Restaurant - ""Fast-food""(drive up service or pay at counter)",23,0,0,"sandwich, submarine",NA
2013,2,"Ohio","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",25,0,0,"chicken, fried",NA
2013,3,"Oregon","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Restaurant - Sit-down dining",38,2,0,"ceviche",NA
2012,8,"California","Salmonella enterica","Thompson","Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served); Religious facility",29,4,0,"sandwich, corned beef",NA
2011,12,"Multistate","Escherichia coli","O26","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",29,7,0,"clover sprouts",NA
2011,12,"Multistate","Shiga toxin-producing","O26","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",29,7,0,"clover sprouts",NA
2012,1,"Multistate","Salmonella enterica","Bareilly; Nchanga","Confirmed; Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; School/college/university",425,55,0,"tuna sushi","tuna"
2012,1,"Multistate","Salmonella enterica","Bareilly; Nchanga","Confirmed; Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; School/college/university",425,55,0,"tuna sushi","tuna"
2012,7,"Multistate","Salmonella enterica","Typhimurium; Newport","Confirmed; Confirmed","Private home/residence",261,94,3,"cantaloupe",NA
2012,7,"Multistate","Salmonella enterica","Typhimurium; Newport","Confirmed; Confirmed","Private home/residence",261,94,3,"cantaloupe",NA
2011,9,"Multistate","Salmonella enterica","Bovismorbificans","Confirmed","Restaurant - Sit-down dining",23,0,0,"hummus","tahini"
2012,2,"Multistate","Salmonella enterica","Javiana","Confirmed",NA,49,14,0,"cucumber",NA
2012,1,"Multistate","Escherichia coli","O45","Confirmed","Private home/residence",21,NA,0,"sandwich, unspecified",NA
2012,1,"Multistate","Shiga toxin-producing","O45","Confirmed","Private home/residence",21,NA,0,"sandwich, unspecified",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,8,"Arkansas","Salmonella enterica","Anatum; Adelaide; Braenderup; Cerro; Heidelberg; Mbandaka; Newport","Confirmed; Suspected; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Prison/jail",365,6,0,"chicken salad",NA
2012,6,"Multistate","Salmonella enterica","Enteritidis","Confirmed",NA,51,NA,0,"ground beef",NA
2012,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Private home/residence",33,13,0,"prepackaged leafy greens","leafy green"
2012,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Private home/residence",33,13,0,"prepackaged leafy greens","leafy green"
2012,12,"Multistate","Salmonella enterica","Typhimurium","Confirmed","Restaurant - Sit-down dining",22,7,0,"ground beef",NA
2012,7,"Multistate","Salmonella enterica","Newport","Confirmed","Private home/residence",24,5,0,"cantaloupe",NA
2012,5,"Wisconsin","Salmonella enterica","Dublin;","Confirmed; Suspected","Private home/residence",21,5,0,"beef, laab raw; beef, intestine soup with vegetables; beef, laab cooked","beef, raw; beef; beef"
2012,7,"Multistate","Salmonella enterica","Newport","Confirmed","Private home/residence",33,11,1,"cantaloupe",NA
2013,4,"Illinois","Norovirus Genogroup II","GII_4 Sydney (2012); GII_4 Sydney (2012)","Confirmed; Confirmed","Banquet Facility (food prepared and served on-site)",57,1,0,"french dressing; butter; iced tea",NA
2013,4,"Illinois","Norovirus Genogroup II","GII_4 Sydney (2012); GII_4 Sydney (2012)","Confirmed; Confirmed","Banquet Facility (food prepared and served on-site)",57,1,0,"french dressing; butter; iced tea",NA
2012,7,"Multistate","Salmonella enterica","Braenderup; Worthington","Confirmed; Confirmed","Private home/residence",129,33,0,"mango, unspecified",NA
2012,7,"Multistate","Salmonella enterica","Braenderup; Worthington","Confirmed; Confirmed","Private home/residence",129,33,0,"mango, unspecified",NA
2012,6,"Multistate","Salmonella enterica","Bredeney","Confirmed","Private home/residence",42,10,0,"peanut butter",NA
2013,4,"Pennsylvania","Salmonella enterica","Enteritidis","Confirmed","Caterer (food prepared off-site from where served)",35,1,0,"ham","ham"
2013,3,"Minnesota","Salmonella enterica","Typhimurium","Confirmed","Private home/residence",26,15,0,"queso fresco, unpasteurized","milk, whole milk unpasteurized"
2012,6,"Multistate","Salmonella enterica","Heidelberg","Confirmed","Private home/residence",134,33,0,"chicken",NA
2012,6,"Multistate","Escherichia coli","O157:H7","Confirmed",NA,52,NA,NA,"romaine lettuce, unspecified",NA
2012,6,"Multistate","Shiga toxin-producing","O157:H7","Confirmed",NA,52,NA,NA,"romaine lettuce, unspecified",NA
2013,5,"Louisiana","Norovirus Genogroup II","GII_2","Confirmed","Caterer (food prepared off-site from where served)",40,0,0,"cake",NA
2013,3,"Maryland","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Banquet Facility (food prepared and served on-site)",48,1,0,"caesar salad",NA
2013,5,"Massachusetts","Salmonella enterica","Enteritidis","Confirmed","Religious facility",59,0,0,"pasta salad",NA
2013,1,"Multistate","Salmonella enterica","Saintpaul","Confirmed","Private home/residence",84,17,0,"cucumber",NA
2010,5,"Multistate","Salmonella enterica","Newport","Confirmed","Restaurant - Sit-down dining; Grocery store",64,NA,NA,"tomatoes",NA
2010,7,"Multistate","Salmonella enterica","Newport","Confirmed",NA,24,NA,NA,"tomatoes",NA
2013,6,"Massachusetts","Salmonella enterica","Javiana","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Fair, festival, other temp or mobile services",30,0,0,"falafel","chick peas; egg; eggplant"
2013,4,"Nevada","Salmonella enterica","I 4,[5],12:i:-","Confirmed","Restaurant - Sit-down dining",333,50,0,"sausage, pork",NA
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
